问题描述;A;B;C;D;答案;
体育类;系列;;;;;
棒球比赛一共有几个垒包;一个;两个;三个;四个;4;
斯诺克一共有几个球;9;13;16;22;4;
实现⼈体正常⽣理活动和运动的必要条件是;人体有氧工作能力; 氧的供应;血液循环;自身素质;2;
 100米跑的起跑分;预备、跑  ;各就位、预备、跑;各就位、跑;润;2;
以下那些是属于长跑项目;200米、400米;400米、800米 ;1500米、3000米;42千米;3;
马拉松跑全程为多少,属超长距离跑项目。;41．195千米;42．195千米 ;43．195千米 ;44．195千米;2;
"在雅典奥运会上获得男子110米栏冠军，并打破奥运会纪录的“亚洲飞龙""是";刘翔;巴特尔 ;姚明;林炜翔;1;
中国第一位奥运形象大使是 ;成龙;邓亚萍;杨澜;管泽元;2;
分腿腾越山羊和跳箱练习时，踏跳应采用;双脚;单脚;跨越;肉蛋葱鸡;1;
体育课的运动负荷是指学生做身体练习时 ;练习的数量;身体所承受的心理负担 ;身体所承受的生理负担;身体没有承受的生理负担;3;
决定跑速的因素主要是;内力;外力 ;步长和步频;技能cd;3;
课间操有助于消除学生学习中产生的疲劳，保护视力，并提高;学生的鉴别能力;学生的专项运动能力;学生的学习效率;学生的抗压能力;3;
小学生的安静时的脉博是每分钟;85次左右;75次左右;105次左右;115次左右;1;
以下哪项是径赛项目，是一个集体项目,发展协作能力。;接力跑;跳高;篮球;英雄联盟;1;
小学高段学生的睡眠时间为(   ） ，才能保证身体的发育和脑力的恢复;8 小时;9小时;10小时;钝角;2;
北京奥运会的举办时间;7月23日至8月9日;8月8日至8月24日;8月24日至9月10日;8月9日至8月24日;2;
第29届奥林匹克运动会会徽又名;五彩祥云;搏动的行星;中国印．舞动的北京 ;动感全球;3;
中国成功申办了第几届奥运会;30;26;29;28;3;
获得奥运会金牌最多的中国选手是;伏明霞、邓亚萍;邓亚萍、李宁;李宁、伏明霞;李宁， 王义夫;1;
每年哪一天为全民健身日;44720;44781;44842;44891;2;
奥林匹克日是哪一天? ;44735;44738;44801;44781;4;
